Collecting time,X,Y,Z,
38957,-45,169,90,
38997,-18,84,155,
39038,-24,31,190,
39078,-55,15,208,
39118,-72,10,216,
39158,-97,29,202,
39198,-163,58,174,
39238,-245,66,142,
39278,-323,64,98,
39318,-383,63,13,
39358,-432,44,-139,
39398,-504,-105,-303,
39438,-569,-385,-347,
39478,-590,-560,-274,
39518,-577,-679,-181,
39558,-538,-758,-71,
39598,-494,-793,33,
39638,-469,-774,127,
39678,-448,-740,205,
39718,-418,-632,314,
39758,-352,-351,406,
39798,-182,-131,413,
39838,-3,-76,382,
39878,214,-108,250,
39918,340,-254,29,
39958,332,-439,-106,
39998,284,-562,-174,
40039,220,-614,-269,
40079,160,-647,-328,
40119,104,-650,-383,
40159,42,-632,-446,
40199,12,-616,-472,
40239,1,-588,-495,
40279,-33,-542,-523,
40319,-47,-507,-538,
40359,-93,-481,-555,
40399,-178,-497,-555,
40439,-256,-540,-533,
40479,-342,-616,-477,
40519,-395,-719,-392,
40559,-386,-835,-282,
40599,-331,-923,-187,
40639,-230,-981,-141,
40679,-71,-1002,-131,
40719,85,-930,-226,
40759,147,-765,-354,
40799,109,-645,-420,
40839,57,-606,-447,
40879,31,-601,-459,
40919,16,-629,-461,
40959,-23,-640,-474,
40999,-85,-647,-493,
41040,-178,-643,-503,
41080,-277,-663,-486,
41120,-396,-679,-424,
41160,-513,-678,-312,
41200,-587,-664,-157,
41240,-597,-642,5,
41280,-552,-629,154,
41320,-466,-642,260,
41360,-385,-654,317,
41400,-314,-655,358,
41440,-254,-627,395,
41480,-207,-562,432,
41520,-183,-468,461,
41560,-169,-347,476,
41600,-130,-199,464,
41640,-45,-38,400,
41680,163,-97,297,
41720,216,-264,233,
41760,233,-379,177,
41800,252,-460,103,
41840,257,-537,13,
41880,243,-605,-78,
41920,201,-671,-160,
41960,147,-711,-247,
42000,91,-733,-316,
42041,34,-741,-364,
42081,-21,-753,-397,
42121,-66,-783,-397,
42161,-123,-812,-391,
42201,-156,-856,-355,
42241,-204,-892,-317,
42281,-245,-936,-252,
42321,-273,-965,-194,
42361,-264,-1000,-128,
42401,-229,-1025,-103,
42441,-146,-1033,-134,
42481,-51,-977,-235,
42521,-32,-871,-326,
42561,-62,-819,-345,
42601,-75,-774,-378,
42641,-118,-593,-498,
42681,-151,-532,-524,
42721,-184,-546,-520,
42761,-258,-534,-513,
42801,-323,-515,-499,
42841,-377,-523,-480,
42881,-454,-538,-421,
42921,-528,-550,-344,
42961,-594,-557,-222,
43001,-620,-568,-83,
43042,-604,-568,75,
43082,-551,-565,200,
43122,-482,-572,292,
43162,-399,-568,361,
43202,-351,-533,401,
43242,-306,-481,436,
43282,-282,-386,458,
43322,-280,-249,451,
43362,-258,-64,391,
43402,-145,55,302,
43442,-28,50,217,
43482,111,-49,146,
43522,237,-207,53,
43562,276,-322,-40,
43602,274,-430,-115,
43642,245,-545,-190,
43682,190,-659,-230,
43722,127,-734,-268,
43762,62,-783,-302,
43802,-15,-821,-322,
43842,-74,-828,-357,
43882,-116,-828,-373,
43922,-168,-841,-374,
43962,-206,-847,-368,
44002,-245,-873,-342,
44043,-289,-880,-325,
44083,-339,-883,-304,
44123,-381,-888,-268,
44163,-400,-898,-251,
44203,-383,-920,-255,
44243,-342,-945,-281,
44283,-299,-953,-273,
44323,-296,-917,-262,
44363,-305,-882,-234,
44403,-299,-883,-172,
44443,-292,-880,-184,
44483,-293,-869,-223,
44523,-312,-877,-196,
44563,-351,-875,-132,
44603,-379,-863,-15,
44643,-422,-835,-2,
44683,-446,-831,-41,
44723,-501,-775,-75,
44763,-575,-670,-90,
44803,-630,-518,-75,
44843,-642,-354,-89,
44883,-597,-199,-204,
44923,-518,-98,-293,
44963,-436,-13,-320,
45003,-408,-22,-362,
45044,-402,-76,-412,
45084,-382,-115,-457,
45124,-387,-167,-486,
45164,-386,-295,-535,
45204,-359,-434,-567,
45244,-228,-598,-587,
45284,29,-785,-455,
45324,239,-662,-306,
45364,306,-500,-171,
45404,308,-368,-60,
45444,280,-273,35,
45484,232,-201,112,
45524,176,-183,194,
45564,124,-189,262,
45604,61,-214,326,
45644,-1,-246,371,
45684,-42,-276,395,
45724,-107,-302,411,
45764,-172,-322,413,
45804,-238,-308,409,
45844,-302,-287,387,
45884,-391,-250,334,
45924,-458,-195,252,
45964,-476,-87,158,
46004,-435,44,21,
